CHAMP1,CHAMP2,CHAMP1_POSITION,CHAMP2_POSITION,VICTORY,DEFEAT,TOTALPLAYED,PERCENTVICTORY,PERCENTDEFEAT,YEAR,SEASON,TEAM
Sivir,Janna,AD_CARRY,SUPPORT,8,9,17,0.47058823529411764,0.5294117647058824,2015,Spring,Red
Lissandra,JarvanIV,TOP_LANER,JUNGLER,8,6,14,0.5714285714285714,0.42857142857142855,2015,Spring,Blue
Tristana,Morgana,AD_CARRY,SUPPORT,2,3,5,0.4,0.6,2015,Spring,Blue
Nunu,Ahri,JUNGLER,MID_LANER,3,2,5,0.6,0.4,2015,Spring,Red
Caitlyn,Janna,AD_CARRY,SUPPORT,2,4,6,0.3333333333333333,0.6666666666666666,2015,Spring,Red
Gnar,LeeSin,TOP_LANER,JUNGLER,7,5,12,0.5833333333333334,0.4166666666666667,2015,Spring,Blue
LeeSin,Leblanc,JUNGLER,MID_LANER,11,4,15,0.7333333333333333,0.26666666666666666,2015,Spring,Blue
LeeSin,Nami,JUNGLER,SUPPORT,5,4,9,0.5555555555555556,0.4444444444444444,2015,Spring,Blue
Malphite,JarvanIV,TOP_LANER,JUNGLER,0,2,2,0.0,1.0,2015,Spring,Red
JarvanIV,Orianna,JUNGLER,MID_LANER,4,6,10,0.4,0.6,2015,Spring,Red
JarvanIV,Janna,AD_CARRY,SUPPORT,15,17,32,0.46875,0.53125,2015,Spring,Red
Graves,Janna,AD_CARRY,SUPPORT,8,11,19,0.42105263157894735,0.5789473684210527,2015,Spring,Red
Sion,Rengar,TOP_LANER,JUNGLER,0,1,1,0.0,1.0,2015,Spring,Blue
Rengar,Janna,JUNGLER,SUPPORT,6,5,11,0.5454545454545454,0.45454545454545453,2015,Spring,Blue
Sivir,Janna,AD_CARRY,SUPPORT,14,11,25,0.56,0.44,2015,Spring,Blue
Lissandra,JarvanIV,TOP_LANER,JUNGLER,6,4,10,0.6,0.4,2015,Spring,Red
JarvanIV,Corki,JUNGLER,MID_LANER,1,2,3,0.3333333333333333,0.6666666666666666,2015,Spring,Red
Kalista,Thresh,AD_CARRY,SUPPORT,10,10,20,0.5,0.5,2015,Spring,Red
Lulu,RekSai,TOP_LANER,JUNGLER,5,6,11,0.45454545454545453,0.5454545454545454,2015,Spring,Blue
RekSai,Corki,JUNGLER,MID_LANER,0,1,1,0.0,1.0,2015,Spring,Blue
RekSai,Morgana,JUNGLER,SUPPORT,11,10,21,0.5238095238095238,0.47619047619047616,2015,Spring,Blue
Kalista,Morgana,AD_CARRY,SUPPORT,3,2,5,0.6,0.4,2015,Spring,Blue
Rumble,LeeSin,TOP_LANER,JUNGLER,6,9,15,0.4,0.6,2015,Spring,Red
LeeSin,Ahri,JUNGLER,MID_LANER,5,13,18,0.2777777777777778,0.7222222222222222,2015,Spring,Red
LeeSin,Annie,AD_CARRY,SUPPORT,8,10,18,0.4444444444444444,0.5555555555555556,2015,Spring,Red
Graves,Annie,AD_CARRY,SUPPORT,10,7,17,0.5882352941176471,0.4117647058823529,2015,Spring,Red
Maokai,Vi,TOP_LANER,JUNGLER,5,5,10,0.5,0.5,2015,Spring,Blue
Vi,Kassadin,JUNGLER,MID_LANER,2,1,3,0.6666666666666666,0.3333333333333333,2015,Spring,Blue
Graves,Annie,AD_CARRY,SUPPORT,7,7,14,0.5,0.5,2015,Spring,Blue
RekSai,Vi,TOP_LANER,JUNGLER,0,1,1,0.0,1.0,2015,Spring,Blue
Vi,Azir,JUNGLER,MID_LANER,0,1,1,0.0,1.0,2015,Spring,Blue
Vi,Thresh,JUNGLER,SUPPORT,6,3,9,0.6666666666666666,0.3333333333333333,2015,Spring,Blue
Corki,Thresh,AD_CARRY,SUPPORT,14,9,23,0.6086956521739131,0.391304347826087,2015,Spring,Blue
LeeSin,Morgana,AD_CARRY,SUPPORT,1,4,5,0.2,0.8,2015,Spring,Red
Sivir,Morgana,AD_CARRY,SUPPORT,8,5,13,0.6153846153846154,0.38461538461538464,2015,Spring,Red
Lissandra,RekSai,TOP_LANER,JUNGLER,6,2,8,0.75,0.25,2015,Spring,Blue
RekSai,Xerath,JUNGLER,MID_LANER,4,3,7,0.5714285714285714,0.42857142857142855,2015,Spring,Blue
RekSai,Nami,JUNGLER,SUPPORT,8,5,13,0.6153846153846154,0.38461538461538464,2015,Spring,Blue
Vayne,Nami,AD_CARRY,SUPPORT,1,1,2,0.5,0.5,2015,Spring,Blue
JarvanIV,Morgana,AD_CARRY,SUPPORT,8,4,12,0.6666666666666666,0.3333333333333333,2015,Spring,Red
Irelia,Vi,TOP_LANER,JUNGLER,2,2,4,0.5,0.5,2015,Spring,Red
Vi,Nidalee,JUNGLER,MID_LANER,1,0,1,1.0,0.0,2015,Spring,Red
Jinx,Morgana,AD_CARRY,SUPPORT,3,2,5,0.6,0.4,2015,Spring,Red
Vi,Leblanc,JUNGLER,MID_LANER,2,1,3,0.6666666666666666,0.3333333333333333,2015,Spring,Blue
Maokai,JarvanIV,TOP_LANER,JUNGLER,16,13,29,0.5517241379310345,0.4482758620689655,2015,Spring,Red
JarvanIV,Xerath,JUNGLER,MID_LANER,6,8,14,0.42857142857142855,0.5714285714285714,2015,Spring,Red
Lucian,Janna,AD_CARRY,SUPPORT,12,11,23,0.5217391304347826,0.4782608695652174,2015,Spring,Red
Lissandra,LeeSin,TOP_LANER,JUNGLER,5,3,8,0.625,0.375,2015,Spring,Blue
LeeSin,Ezreal,JUNGLER,MID_LANER,1,1,2,0.5,0.5,2015,Spring,Blue
LeeSin,Alistar,JUNGLER,SUPPORT,2,0,2,1.0,0.0,2015,Spring,Blue
Sivir,Alistar,AD_CARRY,SUPPORT,6,1,7,0.8571428571428571,0.14285714285714285,2015,Spring,Blue
Vi,Azir,JUNGLER,MID_LANER,0,2,2,0.0,1.0,2015,Spring,Red
