CHAMP1,CHAMP2,Year,Season,Team,CHAMP1_POS,CHAMP2_POS,Total_Played,Wins
Fiora,Gragas,2016,Summer,blue,Top,Jungle,11,6
Maokai,RekSai,2016,Summer,blue,Top,Jungle,20,12
Maokai,Khazix,2016,Summer,blue,Top,Jungle,2,1
Swain,Graves,2016,Summer,blue,Top,Jungle,7,2
Vladimir,Gragas,2016,Summer,blue,Top,Jungle,2,1
Ekko,RekSai,2016,Summer,blue,Top,Jungle,35,18
Maokai,LeeSin,2016,Summer,blue,Top,Jungle,10,8
Ekko,Graves,2016,Summer,blue,Top,Jungle,23,10
Irelia,Nidalee,2016,Summer,blue,Top,Jungle,15,11
Shen,RekSai,2016,Summer,blue,Top,Jungle,40,20
Irelia,Graves,2016,Summer,blue,Top,Jungle,8,2
Jax,Elise,2016,Summer,blue,Top,Jungle,7,4
Irelia,RekSai,2016,Summer,blue,Top,Jungle,38,18
Jax,Kindred,2016,Summer,blue,Top,Jungle,3,2
Maokai,Kindred,2016,Summer,blue,Top,Jungle,19,11
Maokai,Nidalee,2016,Summer,blue,Top,Jungle,14,7
Trundle,RekSai,2016,Summer,blue,Top,Jungle,35,20
Swain,RekSai,2016,Summer,blue,Top,Jungle,16,10
Fiora,Elise,2016,Summer,blue,Top,Jungle,7,3
Irelia,Elise,2016,Summer,blue,Top,Jungle,26,16
Renekton,Nidalee,2016,Summer,blue,Top,Jungle,1,1
Shen,Kindred,2016,Summer,blue,Top,Jungle,11,0
Fizz,RekSai,2016,Summer,blue,Top,Jungle,10,7
Trundle,Olaf,2016,Summer,blue,Top,Jungle,5,1
Irelia,Olaf,2016,Summer,blue,Top,Jungle,5,3
Jax,Nidalee,2016,Summer,blue,Top,Jungle,3,2
Shen,Olaf,2016,Summer,blue,Top,Jungle,7,5
Vladimir,Nidalee,2016,Summer,blue,Top,Jungle,1,0
Jax,RekSai,2016,Summer,blue,Top,Jungle,10,5
Rumble,Olaf,2016,Summer,blue,Top,Jungle,7,4
Irelia,Evelynn,2016,Summer,blue,Top,Jungle,1,0
Rumble,RekSai,2016,Summer,blue,Top,Jungle,17,9
JarvanIV,Gragas,2016,Summer,blue,Top,Jungle,1,0
Trundle,Kindred,2016,Summer,blue,Top,Jungle,16,5
Lissandra,RekSai,2016,Summer,blue,Top,Jungle,5,2
Hecarim,RekSai,2016,Summer,blue,Top,Jungle,5,3
Hecarim,Elise,2016,Summer,blue,Top,Jungle,2,1
Lissandra,Kindred,2016,Summer,blue,Top,Jungle,1,1
Poppy,Kindred,2016,Summer,blue,Top,Jungle,3,0
Jax,Olaf,2016,Summer,blue,Top,Jungle,2,1
Swain,Gragas,2016,Summer,blue,Top,Jungle,3,3
Trundle,Hecarim,2016,Summer,blue,Top,Jungle,8,5
Shen,Hecarim,2016,Summer,blue,Top,Jungle,25,13
Shen,Graves,2016,Summer,blue,Top,Jungle,15,5
Irelia,Gragas,2016,Summer,blue,Top,Jungle,34,19
Jax,Gragas,2016,Summer,blue,Top,Jungle,7,7
Shen,Gragas,2016,Summer,blue,Top,Jungle,35,23
Trundle,Graves,2016,Summer,blue,Top,Jungle,14,7
Ryze,RekSai,2016,Summer,blue,Top,Jungle,3,1
Hecarim,Nidalee,2016,Summer,blue,Top,Jungle,4,1
Ryze,Gragas,2016,Summer,blue,Top,Jungle,2,0
Rumble,Nidalee,2016,Summer,blue,Top,Jungle,4,2
Gnar,Gragas,2016,Summer,blue,Top,Jungle,41,27
Rumble,Graves,2016,Summer,blue,Top,Jungle,2,0
Gnar,Nidalee,2016,Summer,blue,Top,Jungle,27,17
Ryze,Olaf,2016,Summer,blue,Top,Jungle,1,0
Gnar,Hecarim,2016,Summer,blue,Top,Jungle,5,1
Shen,Elise,2016,Summer,blue,Top,Jungle,18,7
Renekton,RekSai,2016,Summer,blue,Top,Jungle,1,0
Gnar,RekSai,2016,Summer,blue,Top,Jungle,41,19
Gnar,Elise,2016,Summer,blue,Top,Jungle,31,12
Ryze,Nidalee,2016,Summer,blue,Top,Jungle,2,1
Gnar,Olaf,2016,Summer,blue,Top,Jungle,9,6
Illaoi,Nidalee,2016,Summer,blue,Top,Jungle,4,1
Rumble,Rengar,2016,Summer,blue,Top,Jungle,1,1
Rumble,Gragas,2016,Summer,blue,Top,Jungle,1,1
Shen,Nidalee,2016,Summer,blue,Top,Jungle,14,10
Gangplank,RekSai,2016,Summer,blue,Top,Jungle,31,16
Ekko,Sejuani,2016,Summer,blue,Top,Jungle,1,0
Trundle,Mordekaiser,2016,Summer,blue,Top,Jungle,1,1
Illaoi,Gragas,2016,Summer,blue,Top,Jungle,4,2
Ekko,Gragas,2016,Summer,blue,Top,Jungle,23,13
Gangplank,Kindred,2016,Spring,blue,Top,Jungle,10,3
Gragas,Graves,2016,Spring,blue,Top,Jungle,5,2
Ekko,Gragas,2016,Spring,blue,Top,Jungle,4,2
Gnar,Graves,2016,Spring,blue,Top,Jungle,6,3
Nautilus,Gragas,2016,Spring,blue,Top,Jungle,21,10
Ekko,Nidalee,2016,Spring,blue,Top,Jungle,6,3
Poppy,Kindred,2016,Spring,blue,Top,Jungle,26,16
Ekko,Elise,2016,Spring,blue,Top,Jungle,8,6
Lucian,Gragas,2016,Spring,blue,Top,Jungle,1,0
Graves,RekSai,2016,Spring,blue,Top,Jungle,3,1
Gragas,Elise,2016,Spring,blue,Top,Jungle,4,3
