,CHAMP1_x,Team_x,CHAMP2_x,Year_x,CHAMP1_y,CHAMP2_y,Partidas_x,bResult
193,Lulu,blue,Sejuani,2015,Maokai,Gragas,2,1
194,Hecarim,blue,Gragas,2015,Maokai,Sejuani,1,1
195,Lulu,blue,Nidalee,2015,Shyvana,Nunu,1,0
196,Kennen,blue,Nunu,2015,Lulu,Gragas,1,0
197,Gnar,blue,LeeSin,2015,Maokai,Gragas,1,0
198,Shyvana,blue,Nunu,2015,Sion,Gragas,1,0
199,Gnar,blue,Gragas,2015,Vladimir,RekSai,1,1
200,Rumble,blue,Sejuani,2015,Morgana,RekSai,1,1
201,Hecarim,blue,RekSai,2015,Shyvana,Gragas,3,1
202,Sion,blue,Gragas,2015,Hecarim,Nunu,1,1
203,Gnar,blue,Sejuani,2015,Lulu,Nunu,1,0
204,Lulu,blue,Gragas,2015,Maokai,Sejuani,1,0
205,Maokai,blue,Gragas,2015,Sion,Sejuani,1,0
206,Maokai,blue,Sejuani,2015,Sion,Gragas,1,1
207,Vladimir,blue,Zac,2015,Maokai,Vi,1,0
208,Shen,blue,Elise,2015,Gnar,Ekko,1,1
209,Gnar,blue,Nidalee,2015,Shen,Elise,1,0
210,Shen,blue,Elise,2015,Gangplank,RekSai,1,1
211,Shen,blue,Evelynn,2015,Olaf,Nidalee,1,0
212,Shen,blue,Elise,2015,Olaf,Nidalee,1,1
213,Olaf,blue,Nidalee,2015,Maokai,Elise,1,1
214,Shen,blue,Evelynn,2015,Gnar,Elise,1,0
215,Olaf,blue,Ekko,2015,Shen,Evelynn,1,1
216,Maokai,blue,LeeSin,2015,Gnar,Ekko,1,0
217,Gnar,blue,Ekko,2015,Maokai,LeeSin,1,1
218,Gnar,blue,Elise,2015,Maokai,Ekko,1,0
219,Gnar,blue,Nidalee,2015,Maokai,Elise,1,1
220,Nautilus,blue,Gragas,2015,Maokai,Evelynn,1,1
221,Gnar,blue,Ekko,2015,Nautilus,Gragas,2,2
222,Maokai,blue,Gragas,2015,Ryze,LeeSin,1,1
223,Shen,blue,Evelynn,2015,Gangplank,Gragas,1,1
224,Sion,blue,Gragas,2015,Malphite,Elise,1,1
225,Maokai,blue,Evelynn,2015,Nautilus,Gragas,1,0
226,Yasuo,blue,Gragas,2015,Gnar,Nidalee,1,1
227,Nautilus,blue,Ekko,2015,Gnar,Gragas,1,0
228,Rumble,blue,Amumu,2015,Gnar,Gragas,1,0
229,Lulu,blue,Amumu,2015,Gnar,Gragas,1,0
230,Maokai,blue,Shyvana,2015,Gnar,Gragas,1,1
231,Maokai,blue,Khazix,2015,Gangplank,Gragas,1,1
232,Shen,blue,Elise,2015,Malphite,LeeSin,1,1
233,Shen,blue,Gragas,2015,Maokai,Elise,1,1
234,Gnar,blue,Shyvana,2015,Fizz,Elise,1,0
235,Shen,blue,Evelynn,2015,Rumble,Gragas,1,0
236,Rumble,blue,Gragas,2015,Shen,Elise,1,1
237,Lulu,blue,Ekko,2015,Maokai,Elise,1,0
238,Shen,blue,Elise,2015,Gnar,Gragas,1,0
239,Gnar,blue,Gragas,2015,Rumble,Ekko,2,0
240,Sion,blue,Nidalee,2015,Lulu,RekSai,1,1
241,DrMundo,blue,Elise,2016,Jax,RekSai,1,0
242,Ryze,blue,LeeSin,2016,Chogath,RekSai,1,0
243,Malphite,blue,Kindred,2016,Fiora,LeeSin,1,0
244,DrMundo,blue,RekSai,2016,Gnar,Elise,1,1
245,Lulu,blue,Elise,2016,Trundle,Poppy,1,1
246,DrMundo,blue,RekSai,2016,Fiora,Elise,1,0
247,Fiora,blue,Elise,2016,Jax,Poppy,1,1
248,TahmKench,blue,RekSai,2016,Gnar,Elise,2,1
249,Lissandra,blue,RekSai,2016,Fiora,Elise,2,0
250,Fiora,blue,Elise,2016,DrMundo,Nidalee,1,1
251,Lissandra,blue,LeeSin,2016,Shen,Nidalee,1,1
252,Poppy,blue,LeeSin,2016,Fiora,Olaf,1,0
253,Shen,blue,RekSai,2016,Fiora,Elise,1,0
