,CHAMP1,CHAMP2,Year,Season,Team,CHAMP1_POS,CHAMP2_POS,Total_Played,Wins
188,Ryze,Elise,2015,Spring,blue,Top,Jungle,1,0
189,Ryze,Nocturne,2015,Spring,blue,Top,Jungle,1,0
190,JarvanIV,Syndra,2015,Spring,blue,Top,Jungle,1,0
191,LeeSin,Jax,2015,Spring,blue,Top,Jungle,1,0
192,Maokai,Rammus,2015,Spring,blue,Top,Jungle,1,1
193,Maokai,Rengar,2015,Spring,blue,Top,Jungle,1,0
194,Jax,Pantheon,2015,Spring,blue,Top,Jungle,1,1
195,Renekton,Elise,2015,Spring,blue,Top,Jungle,1,1
196,DrMundo,JarvanIV,2015,Spring,blue,Top,Jungle,1,1
197,Irelia,Elise,2015,Spring,blue,Top,Jungle,1,0
0,RekSai,Ahri,2015,Spring,blue,Jungle,Middle,14,8
1,Rengar,Ahri,2015,Spring,blue,Jungle,Middle,3,0
2,Rengar,Fizz,2015,Spring,blue,Jungle,Middle,1,1
3,JarvanIV,Leblanc,2015,Spring,blue,Jungle,Middle,14,7
4,JarvanIV,Lissandra,2015,Spring,blue,Jungle,Middle,5,3
5,Rengar,Leblanc,2015,Spring,blue,Jungle,Middle,4,1
6,JarvanIV,Xerath,2015,Spring,blue,Jungle,Middle,18,8
7,JarvanIV,Azir,2015,Spring,blue,Jungle,Middle,4,3
8,RekSai,Orianna,2015,Spring,blue,Jungle,Middle,5,2
9,Nocturne,Orianna,2015,Spring,blue,Jungle,Middle,2,2
10,JarvanIV,Kassadin,2015,Spring,blue,Jungle,Middle,12,8
11,Vi,Lissandra,2015,Spring,blue,Jungle,Middle,7,6
12,LeeSin,Xerath,2015,Spring,blue,Jungle,Middle,14,9
13,Vi,Zed,2015,Spring,blue,Jungle,Middle,3,3
14,LeeSin,Leblanc,2015,Spring,blue,Jungle,Middle,15,11
15,RekSai,Corki,2015,Spring,blue,Jungle,Middle,1,0
16,Vi,Kassadin,2015,Spring,blue,Jungle,Middle,3,2
17,Vi,Azir,2015,Spring,blue,Jungle,Middle,1,0
18,RekSai,Xerath,2015,Spring,blue,Jungle,Middle,7,4
19,Vi,Leblanc,2015,Spring,blue,Jungle,Middle,3,2
20,LeeSin,Ezreal,2015,Spring,blue,Jungle,Middle,2,1
21,Vi,Ezreal,2015,Spring,blue,Jungle,Middle,1,0
22,RekSai,Lissandra,2015,Spring,blue,Jungle,Middle,14,10
23,Vi,Ahri,2015,Spring,blue,Jungle,Middle,7,6
24,RekSai,Leblanc,2015,Spring,blue,Jungle,Middle,20,12
25,RekSai,Kassadin,2015,Spring,blue,Jungle,Middle,10,7
26,LeeSin,Kassadin,2015,Spring,blue,Jungle,Middle,8,5
27,Nidalee,Zed,2015,Spring,blue,Jungle,Middle,4,4
28,RekSai,Zed,2015,Spring,blue,Jungle,Middle,14,9
29,RekSai,Lulu,2015,Spring,blue,Jungle,Middle,13,5
30,JarvanIV,Syndra,2015,Spring,blue,Jungle,Middle,8,3
31,JarvanIV,Ezreal,2015,Spring,blue,Jungle,Middle,10,8
32,Nidalee,Ezreal,2015,Spring,blue,Jungle,Middle,5,2
33,Sejuani,Viktor,2015,Spring,blue,Jungle,Middle,1,0
34,JarvanIV,Viktor,2015,Spring,blue,Jungle,Middle,2,1
35,LeeSin,Karthus,2015,Spring,blue,Jungle,Middle,2,1
36,JarvanIV,Zed,2015,Spring,blue,Jungle,Middle,13,8
37,Sejuani,Kennen,2015,Spring,blue,Jungle,Middle,2,2
38,Nidalee,Lissandra,2015,Spring,blue,Jungle,Middle,2,2
39,JarvanIV,Lulu,2015,Spring,blue,Jungle,Middle,8,5
40,Gragas,Chogath,2015,Spring,blue,Jungle,Middle,2,0
41,RekSai,Cassiopeia,2015,Spring,blue,Jungle,Middle,6,2
42,Sejuani,Karthus,2015,Spring,blue,Jungle,Middle,4,1
43,Zac,Xerath,2015,Spring,blue,Jungle,Middle,2,1
44,Sejuani,Zed,2015,Spring,blue,Jungle,Middle,8,7
45,Sejuani,Lulu,2015,Spring,blue,Jungle,Middle,2,1
46,Nidalee,Yasuo,2015,Spring,blue,Jungle,Middle,1,1
47,Gragas,Yasuo,2015,Spring,blue,Jungle,Middle,2,1
48,Nunu,Rumble,2015,Spring,blue,Jungle,Middle,1,0
49,LeeSin,Chogath,2015,Spring,blue,Jungle,Middle,1,1
50,Zac,Diana,2015,Spring,blue,Jungle,Middle,1,0
51,Nunu,Vladimir,2015,Spring,blue,Jungle,Middle,4,3
52,Zac,JarvanIV,2015,Spring,blue,Jungle,Middle,1,1
53,LeeSin,TwistedFate,2015,Spring,blue,Jungle,Middle,6,1
54,Nunu,Corki,2015,Spring,blue,Jungle,Middle,1,1
55,LeeSin,Vladimir,2015,Spring,blue,Jungle,Middle,2,1
56,RekSai,Fizz,2015,Spring,blue,Jungle,Middle,1,1
57,Gragas,Corki,2015,Spring,blue,Jungle,Middle,2,0
58,Nunu,Azir,2015,Spring,blue,Jungle,Middle,6,4
59,Sejuani,Corki,2015,Spring,blue,Jungle,Middle,2,2
60,Sejuani,Urgot,2015,Spring,blue,Jungle,Middle,3,1
61,Gragas,Lissandra,2015,Spring,blue,Jungle,Middle,2,2
62,Nidalee,Urgot,2015,Spring,blue,Jungle,Middle,1,0
63,Nunu,Karthus,2015,Spring,blue,Jungle,Middle,2,1
64,Nunu,Lulu,2015,Spring,blue,Jungle,Middle,3,1
65,Gragas,Orianna,2015,Spring,blue,Jungle,Middle,1,1
66,RekSai,Azir,2015,Spring,blue,Jungle,Middle,5,3
67,Gragas,Ahri,2015,Spring,blue,Jungle,Middle,5,4
68,Sejuani,Ziggs,2015,Spring,blue,Jungle,Middle,1,0
69,Zac,Zed,2015,Spring,blue,Jungle,Middle,1,0
70,Elise,Leblanc,2015,Spring,blue,Jungle,Middle,2,2
71,JarvanIV,Cassiopeia,2015,Spring,blue,Jungle,Middle,3,2
72,LeeSin,Ahri,2015,Spring,blue,Jungle,Middle,11,5
73,Olaf,Zed,2015,Spring,blue,Jungle,Middle,3,2
74,JarvanIV,Orianna,2015,Spring,blue,Jungle,Middle,9,3
