,CHAMP1_x,Team_x,CHAMP2_x,Year_x,CHAMP1_y,CHAMP2_y,Partidas_x,bResult
110,Tank/Mage/,blue,Fighter/Assassin/,2015,Fighter/Tank/,Assassin/Fighter/,4,1
111,Fighter/Tank/,blue,Tank/Fighter/,2015,Assassin/Fighter/,Fighter/Mage/,1,0
112,Tank/Mage/,blue,Fighter/Mage/,2015,Assassin/Fighter/,Tank/Fighter/,2,1
113,Fighter/Mage/,blue,Fighter/,2015,Mage/Tank/,Fighter/Mage/,1,1
114,Tank/Mage/,blue,Fighter/,2015,Fighter/Mage/,Fighter/Mage/,5,3
115,Fighter/Tank/,blue,Tank/Fighter/,2015,Fighter/Tank/,Fighter/,10,4
116,Fighter/Tank/,blue,Fighter/Assassin/,2015,Assassin/Fighter/,Fighter/,1,1
117,Fighter/Mage/,blue,Tank/Fighter/,2015,Fighter/Tank/,Fighter/,3,2
118,Assassin/Fighter/,blue,Fighter/,2015,Fighter/Tank/,Fighter/Mage/,4,4
119,Fighter/Mage/,blue,Tank/Fighter/,2015,Tank/Mage/,Assassin/Fighter/,4,3
120,Fighter/Mage/,blue,Fighter/Mage/,2015,Fighter/Assassin/,Assassin/Mage/,1,1
121,Fighter/Tank/,blue,Fighter/,2015,Assassin/Fighter/,Assassin/Fighter/,2,1
122,Fighter/Tank/,blue,Fighter/,2015,Fighter/Mage/,Fighter/Mage/,5,3
123,Fighter/Mage/,blue,Tank/Fighter/,2015,Tank/Fighter/,Fighter/,1,0
124,Tank/Mage/,blue,Assassin/Fighter/,2015,Fighter/Mage/,Assassin/Mage/,1,0
125,Tank/Fighter/,blue,Assassin/Fighter/,2015,Fighter/Tank/,Assassin/Mage/,1,1
126,Fighter/Tank/,blue,Tank/Fighter/,2015,Tank/,Assassin/Fighter/,1,1
127,Assassin/Fighter/,blue,Fighter/,2015,Fighter/Tank/,Assassin/Fighter/,2,2
128,Fighter/Tank/,blue,Fighter/,2015,Fighter/Mage/,Tank/Fighter/,3,3
129,Fighter/Tank/,blue,Fighter/Mage/,2015,Fighter/Tank/,Fighter/,6,4
130,Tank/Mage/,blue,Fighter/Assassin/,2015,Fighter/Mage/,Assassin/Fighter/,1,1
131,Mage/Tank/,blue,Fighter/Mage/,2015,Fighter/Tank/,Fighter/,2,2
132,Tank/,blue,Fighter/,2015,Tank/Fighter/,Fighter/Tank/,1,1
133,Tank/Fighter/,blue,Assassin/Fighter/,2015,Tank/,Fighter/Mage/,1,1
134,Support/Mage/,blue,Assassin/Mage/,2015,Tank/Fighter/,Fighter/Mage/,1,0
135,Assassin/Fighter/,blue,Fighter/,2015,Tank/Fighter/,Fighter/Mage/,2,0
136,Fighter/Mage/,blue,Fighter/Mage/,2015,Tank/Fighter/,Assassin/Fighter/,1,0
137,Tank/,blue,Assassin/Mage/,2015,Fighter/Assassin/,Fighter/,1,1
138,Tank/,blue,Fighter/,2015,Fighter/Mage/,Fighter/Mage/,1,1
139,Fighter/Mage/,blue,Fighter/Mage/,2015,Fighter/Tank/,Assassin/Fighter/,2,0
140,Fighter/Tank/,blue,Fighter/Mage/,2015,Tank/Mage/,Assassin/Fighter/,4,2
141,Tank/,blue,Assassin/Mage/,2015,Tank/Mage/,Fighter/,2,1
142,Tank/,blue,Tank/Fighter/,2015,Fighter/Mage/,Fighter/Assassin/,1,1
143,Fighter/Tank/,blue,Fighter/Mage/,2015,Tank/Mage/,Fighter/,10,4
144,Tank/Fighter/,blue,Fighter/,2015,Assassin/Fighter/,Fighter/Mage/,1,0
145,Tank/Mage/,blue,Assassin/Fighter/,2015,Fighter/Mage/,Fighter/,4,1
146,Tank/Mage/,blue,Fighter/Mage/,2015,Tank/Fighter/,Fighter/Assassin/,1,1
147,Fighter/Tank/,blue,Fighter/Assassin/,2015,Fighter/Mage/,Tank/Fighter/,5,4
148,Fighter/Assassin/,blue,Fighter/Mage/,2015,Tank/Mage/,Fighter/,2,0
