,TAG1,TAG2,Total_Played,Wins
1665,Gragas,Annie,35,21
17,Lulu,RekSai,46,21
206,Trundle,Graves,44,21
543,Camille,Khazix,38,21
2148,Corki,Annie,55,21
1132,Elise,Kassadin,45,21
2173,Corki,Nautilus,42,21
1610,JarvanIV,Annie,36,21
1826,Zac,Alistar,33,21
151,Ryze,RekSai,43,21
1617,Rengar,Janna,30,21
973,Nidalee,Leblanc,37,21
1830,JarvanIV,Rakan,37,21
1247,Hecarim,Karma,51,21
2348,KogMaw,TahmKench,33,21
2177,Kalista,Bard,42,21
2253,Caitlyn,Nami,53,21
82,Shen,JarvanIV,39,21
39,Kennen,LeeSin,48,20
943,Khazix,Viktor,40,20
1355,Elise,Nautilus,33,20
1671,Nidalee,Janna,41,20
1624,RekSai,Leona,32,20
457,JarvanIV,LeeSin,54,20
1629,Nidalee,Morgana,37,20
1233,LeeSin,Lissandra,36,20
332,Chogath,JarvanIV,46,20
2334,Varus,Blitzcrank,32,20
2537,Twitch,Janna,26,20
2298,Jhin,Lulu,51,20
346,Jayce,Gragas,34,20
22,Jax,RekSai,48,20
815,JarvanIV,Leblanc,36,20
1858,Nidalee,Trundle,44,20
88,Fizz,Gragas,32,20
83,Nautilus,RekSai,56,20
303,JarvanIV,RekSai,40,19
1969,Graves,Leona,29,19
211,Renekton,RekSai,53,19
1754,Rengar,Thresh,37,19
101,Hecarim,Sejuani,26,19
20,Lissandra,RekSai,36,19
1066,Olaf,Orianna,48,19
1264,Ivern,Malzahar,30,19
2088,Ezreal,Janna,40,19
295,Kennen,Gragas,32,19
398,Kennen,Elise,37,19
855,Sejuani,Lulu,41,19
819,JarvanIV,Azir,32,19
1708,RekSai,Soraka,31,19
978,Nidalee,TwistedFate,33,19
2,Renekton,Rengar,43,19
2355,Tristana,Lulu,44,19
1013,Kindred,Karma,43,19
1117,Khazix,Zed,30,19
185,Swain,RekSai,36,18
306,Kled,Gragas,38,18
310,JarvanIV,Khazix,32,18
2371,Corki,Nami,36,18
876,LeeSin,Azir,43,18
1800,RekSai,Rakan,48,18
1799,Elise,Blitzcrank,31,18
2140,Graves,Annie,34,18
2175,Vayne,Janna,39,18
2421,Kalista,Kennen,32,18
956,Nidalee,Varus,46,18
1126,Graves,Taliyah,47,18
461,JarvanIV,Zac,26,18
1150,Khazix,Galio,36,18
344,Shen,Sejuani,35,18
2188,Varus,Alistar,45,18
245,Jayce,LeeSin,28,18
1168,JarvanIV,Galio,37,18
2147,Jinx,Morgana,35,18
2378,Corki,Trundle,35,17
140,Fiora,Nidalee,28,17
1110,Graves,Vladimir,47,17
1164,JarvanIV,Corki,42,17
954,RekSai,Anivia,29,17
1267,Elise,Ekko,30,17
2299,Jhin,Taric,28,17
33,Kennen,RekSai,43,17
1205,RekSai,Varus,31,17
1078,Rengar,Ryze,44,17
1077,Khazix,Leblanc,40,17
1228,LeeSin,Morgana,44,17
1255,Ivern,Syndra,28,17
1036,Nidalee,Vladimir,21,17
2396,Tristana,Taric,37,17
181,Jax,Elise,33,17
1120,Gragas,Jayce,31,17
322,JarvanIV,Maokai,31,17
192,Shen,Olaf,35,17
818,JarvanIV,Xerath,38,17
1927,LeeSin,Trundle,24,17
1910,Sejuani,Rakan,28,17
1625,LeeSin,Annie,35,17
262,Ekko,LeeSin,28,17
2225,Corki,Bard,30,17
240,Poppy,Khazix,46,17
1785,Ivern,Lulu,29,17
1797,Elise,Rakan,33,17
2292,Varus,MissFortune,40,16
1044,Gragas,Zilean,35,16
1758,Khazix,MissFortune,31,16
1096,LeeSin,Jayce,39,16
2197,Sivir,Leona,34,16
261,Camille,Rengar,22,16
965,Graves,Zilean,29,16
257,Camille,Graves,31,16
1680,Gragas,Nami,44,16
1678,Nunu,Alistar,24,16
1017,Kindred,Ryze,30,16
36,Gragas,RekSai,48,16
1170,Zac,Taliyah,27,16
2165,Lucian,Nautilus,38,16
2350,Xayah,Alistar,38,16
223,Ekko,Nidalee,32,16
2233,Ezreal,Soraka,26,16
881,Nunu,Azir,23,15
147,Malphite,Elise,33,15
2428,KogMaw,Morgana,28,15
1127,Nidalee,Cassiopeia,32,15
1124,Rengar,Vladimir,29,15
2368,Tristana,Rakan,34,15
129,TahmKench,Elise,28,15
1714,Kindred,Bard,50,15
2272,Ashe,Taric,35,15
114,Maokai,Evelynn,39,15
1744,RekSai,Taric,36,15
857,Gragas,Yasuo,24,15
555,Camille,Sejuani,28,15
1801,JarvanIV,TahmKench,35,15
1424,Graves,Morgana,37,15
1025,Nidalee,Ryze,23,15
3,Irelia,JarvanIV,32,15
2330,Xayah,Blitzcrank,24,15
367,Chogath,RekSai,23,15
1790,Zac,Rakan,25,15
824,LeeSin,Xerath,28,15
1002,Graves,Ekko,31,15
993,Nidalee,Zilean,21,15
991,Kindred,Leblanc,33,15
1260,Ivern,Ryze,25,15
1798,Ivern,Zyra,24,15
1677,Nunu,Janna,25,15
1645,Nunu,Thresh,31,15
2357,Caitlyn,Blitzcrank,26,15
1951,Sejuani,Taric,27,15
1253,Graves,Kassadin,29,15
1201,RekSai,Diana,22,15
1151,Zac,Corki,22,15
1054,Gragas,Zed,33,14
394,Fizz,Elise,18,14
18,Maokai,Vi,23,14
1862,Kindred,Thresh,31,14
909,Nidalee,Orianna,25,14
1765,Olaf,Thresh,36,14
2338,Twitch,TahmKench,22,14
1144,Gragas,Lucian,29,14
2274,Kalista,Taric,21,14
6,Renekton,JarvanIV,26,14
2385,Lucian,TahmKench,22,14
90,Rumble,Evelynn,24,14
127,TahmKench,RekSai,21,14
1766,Nidalee,TahmKench,27,14
375,Maokai,Ekko,25,14
187,Renekton,Nidalee,21,14
2365,Xayah,Janna,25,14
1788,LeeSin,Bard,34,14
1222,Olaf,Lulu,22,14
1792,LeeSin,Rakan,33,14
1380,Zac,Karma,24,14
2124,Jinx,Janna,31,14
1828,Sejuani,TahmKench,23,14
2398,Ashe,Nautilus,23,14
1832,RekSai,Blitzcrank,29,14
1101,Olaf,Syndra,31,14
2076,Khazix,Janna,31,14
440,Maokai,Ivern,20,14
2164,Sivir,Lulu,31,14
2155,Corki,Leona,32,14
52,Rumble,Nunu,17,14
284,Nautilus,Ivern,26,14
2354,Tristana,Blitzcrank,25,14
790,JarvanIV,Syndra,38,14
1853,Kindred,Trundle,30,14
14,Lissandra,JarvanIV,24,14
2243,Lucian,Zyra,24,14
2211,Sivir,Soraka,28,14
1218,LeeSin,Zed,25,13
531,Ryze,Khazix,22,13
2327,Twitch,Lulu,24,13
1161,Maokai,Taliyah,24,13
1141,Elise,Galio,24,13
1411,LeeSin,AurelionSol,20,13
2326,Varus,Bard,27,13
822,JarvanIV,Kassadin,24,13
11,Lulu,LeeSin,22,13
2186,Jinx,Alistar,25,13
847,JarvanIV,Zed,22,13
1235,Sejuani,Azir,31,13
1134,LeeSin,Galio,21,13
205,Jax,Gragas,25,13
272,Camille,RekSai,28,13
301,Galio,Khazix,29,13
1095,Khazix,Jayce,21,13
1291,Sejuani,Syndra,30,13
1290,Maokai,Orianna,25,13
405,Gangplank,Graves,21,13
2282,Varus,Taric,27,13
1732,Olaf,Braum,23,13
1847,Elise,Shen,14,13
326,Shen,Zac,22,13
1736,Rengar,Braum,28,13
293,Renekton,Zac,23,13
1105,Zac,Leblanc,18,13
1171,Zac,Syndra,28,13
1042,Hecarim,Vladimir,22,13
1634,Sejuani,Morgana,22,13
1039,Olaf,Viktor,27,13
901,RekSai,Ezreal,29,13
2359,Tristana,Bard,16,13
1726,Elise,Soraka,25,13
1805,Maokai,Thresh,20,12
2337,Ashe,Rakan,19,12
1973,LeeSin,MissFortune,23,12
2361,Varus,Janna,20,12
1804,Zac,TahmKench,21,12
980,Elise,Zilean,25,12
325,Maokai,Nunu,25,12
1079,Khazix,Ekko,30,12
1020,Olaf,Cassiopeia,27,12
1689,Ekko,Thresh,18,12
2224,Lucian,Soraka,30,12
1618,Vi,Thresh,18,12
854,Sejuani,Zed,15,12
239,Poppy,Rengar,26,12
21,Lissandra,LeeSin,27,12
167,Rammus,Gragas,20,12
1173,JarvanIV,Taliyah,32,12
448,Gnar,Khazix,22,12
1167,Rengar,Taliyah,34,12
163,Trundle,Kindred,35,12
1781,Zac,Lulu,19,12
153,Malphite,Gragas,22,12
439,Poppy,Ivern,19,12
838,LeeSin,Kassadin,32,12
1723,Olaf,Zyra,27,12
305,Galio,Elise,20,12
304,Kled,RekSai,20,12
835,Vi,Ahri,18,12
842,JarvanIV,Ezreal,20,12
1389,Sejuani,Galio,19,12
1722,Nidalee,Nami,22,12
1093,Rengar,Jayce,24,12
899,Gragas,Ezreal,19,12
1107,Elise,Talon,30,12
2431,Lucian,Annie,15,11
9,Jax,JarvanIV,19,11
921,RekSai,Fizz,14,11
2430,Urgot,Alistar,18,11
894,Nidalee,Ahri,23,11
874,Zac,Azir,16,11
878,RekSai,Ekko,28,11
895,Evelynn,Viktor,29,11
1220,LeeSin,Fizz,24,11
2372,Ezreal,Morgana,29,11
1740,Hecarim,Taric,18,11
1615,JarvanIV,Nami,32,11
2208,Tristana,Karma,26,11
1,Gnar,Rengar,20,11
2202,Vayne,Braum,28,11
1694,Gragas,Soraka,20,11
271,Gragas,Rengar,32,11
408,Gangplank,Nidalee,28,11
1731,Hecarim,Braum,21,11
401,Gnar,Kindred,16,11
2136,KogMaw,Nami,32,11
1420,JarvanIV,Malzahar,17,11
1777,Graves,Nautilus,23,11
