,TAG1,TAG2,Total_Played,Wins
277,Tank/,Tank/Mage/,15,7
274,Assassin/Mage/,Support/Tank/,23,7
255,Fighter/Marksman/,Support/Fighter/,15,7
256,Marksman/Assassin/,Tank/,10,7
276,Support/Mage/,Assassin/Mage/,16,7
261,Tank/,Assassin/Mage/,20,7
286,Assassin/Mage/,Support/Fighter/,18,6
285,Support/Mage/,Fighter/Mage/,14,6
325,Assassin/Mage/,Support/Mage/,26,6
269,Support/Tank/,Fighter/Mage/,11,6
279,Fighter/Mage/,Marksman/Fighter/,9,6
319,Tank/Fighter/,Tank/,22,6
272,Mage/Marksman/,Support/Fighter/,7,6
288,Fighter/,Fighter/Marksman/,24,6
336,Mage/Support/,Assassin/Fighter/,9,5
289,Mage/Tank/,Fighter/Mage/,10,5
305,Fighter/Marksman/,Mage/,6,5
290,Mage/,Mage/Assassin/,6,5
338,Marksman/Fighter/,Marksman/,7,5
278,Support/Mage/,Fighter/Marksman/,9,5
344,Fighter/Tank/,Tank/,5,5
298,Mage/Support/,Tank/Fighter/,11,5
282,Fighter/Marksman/,Marksman/,11,5
287,Mage/Marksman/,Support/Mage/,19,5
350,Support/Tank/,Assassin/Fighter/,11,5
341,Marksman/Mage/,Tank/Mage/,6,4
342,Mage/Tank/,Assassin/Fighter/,11,4
330,Mage/,Fighter/Mage/,11,4
327,Assassin/Mage/,Mage/Fighter/,8,4
324,Mage/,Support/Mage/,11,4
353,Mage/,Support/Tank/,9,4
310,Tank/Fighter/,Marksman/Fighter/,6,4
301,Marksman/Fighter/,Assassin/Fighter/,8,4
300,Fighter/,Tank/,9,4
304,Mage/Fighter/,Marksman/Fighter/,8,4
317,Tank/Mage/,Mage/Tank/,9,4
292,Support/Tank/,Fighter/Assassin/,8,4
299,Fighter/Mage/,Tank/,10,4
293,Assassin/Fighter/,Marksman/Fighter/,4,4
358,Marksman/Fighter/,Support/Mage/,4,4
302,Fighter/Marksman/,Fighter/Tank/,16,4
311,Mage/Support/,Fighter/Assassin/,9,4
345,Support/Tank/,Tank/Fighter/,3,3
322,Marksman/Fighter/,Fighter/,11,3
346,Marksman/Assassin/,Mage/Marksman/,4,3
366,Mage/Tank/,Fighter/Tank/,4,3
349,Marksman/Mage/,Mage/Fighter/,5,3
362,Fighter/Tank/,Fighter/Marksman/,12,3
354,Mage/,Support/Fighter/,3,3
360,Assassin/Mage/,Mage/Assassin/,11,3
348,Assassin/Mage/,Fighter/Mage/,4,3
340,Marksman/Assassin/,Tank/Mage/,4,3
323,Mage/Tank/,Mage/Fighter/,6,3
333,Support/Mage/,Tank/Support/,6,3
379,Mage/Tank/,Fighter/Assassin/,8,3
312,Fighter/Support/,Assassin/Fighter/,7,3
329,Fighter/Support/,Fighter/Assassin/,6,3
328,Support/Mage/,Mage/Tank/,6,3
314,Assassin/Mage/,Fighter/,9,3
318,Support/Mage/,Mage/Marksman/,6,3
321,Marksman/Fighter/,Fighter/Assassin/,5,3
373,Marksman/Mage/,Fighter/Mage/,3,2
376,Assassin/,Assassin/Fighter/,3,2
377,Fighter/Mage/,Marksman/Assassin/,3,2
416,Assassin/,Mage/Support/,5,2
363,Fighter/Assassin/,Fighter/Support/,6,2
361,Mage/Assassin/,Fighter/Tank/,2,2
359,Assassin/Mage/,Marksman/,3,2
331,Fighter/Support/,Fighter/Mage/,2,2
357,Support/Mage/,Tank/Mage/,4,2
347,Marksman/Fighter/,Fighter/Mage/,7,2
356,Fighter/Assassin/,Tank/,5,2
334,Tank/Support/,Assassin/Fighter/,3,2
337,Fighter/Assassin/,Marksman/Fighter/,2,2
339,Marksman/Support/,Mage/Marksman/,3,2
343,Marksman/Fighter/,Assassin/Mage/,3,2
332,Support/Mage/,Support/,6,2
351,Marksman/Support/,Tank/,3,2
355,Tank/Support/,Fighter/Assassin/,3,2
352,Mage/Marksman/,Support/Tank/,8,2
415,Mage/Assassin/,Mage/Support/,1,1
413,Assassin/Fighter/,Assassin/,1,1
412,Marksman/,Marksman/Assassin/,1,1
411,Assassin/Fighter/,Marksman/Assassin/,2,1
410,Tank/,Mage/Support/,2,1
409,Mage/Assassin/,Mage/,1,1
429,Mage/Support/,Mage/Support/,2,1
408,Fighter/Marksman/,Mage/Support/,6,1
407,Marksman/,Marksman/Fighter/,1,1
406,Marksman/,Marksman/Support/,1,1
405,Mage/Assassin/,Support/Mage/,1,1
404,Marksman/Fighter/,Tank/Support/,1,1
403,Marksman/Support/,Fighter/Mage/,2,1
402,Tank/Mage/,Marksman/Mage/,6,1
414,Assassin/Fighter/,Fighter/Support/,3,1
417,Assassin/,Support/Fighter/,1,1
400,Support/Mage/,Marksman/Assassin/,1,1
428,Mage/,Marksman/Assassin/,1,1
418,Marksman/Fighter/,Support/Tank/,2,1
419,Assassin/,Fighter/,4,1
420,Mage/Assassin/,Fighter/Assassin/,1,1
421,Tank/,Support/Tank/,1,1
422,Tank/Support/,Mage/Fighter/,1,1
423,Mage/Support/,Support/Mage/,2,1
430,Fighter/Assassin/,Marksman/Support/,1,1
424,Tank/Mage/,Assassin/,2,1
425,Assassin/,Tank/Fighter/,1,1
426,Marksman/Assassin/,Fighter/Mage/,1,1
427,Marksman/Mage/,Mage/Marksman/,2,1
401,Mage/Marksman/,Tank/,2,1
367,Marksman/Fighter/,Fighter/Tank/,1,1
399,Mage/Marksman/,Tank/Support/,1,1
383,Assassin/Mage/,Mage/Tank/,2,1
398,Fighter/Marksman/,Mage/Marksman/,1,1
364,Fighter/Support/,Fighter/Tank/,1,1
365,Mage/,Marksman/Support/,1,1
368,Mage/Assassin/,Mage/Marksman/,1,1
369,Fighter/,Marksman/Fighter/,1,1
371,Tank/Mage/,Marksman/Assassin/,1,1
372,Mage/,Mage/,1,1
374,Mage/Tank/,Marksman/,3,1
375,Fighter/Support/,Mage/Fighter/,5,1
378,Mage/Support/,Mage/Fighter/,2,1
380,Mage/Fighter/,Assassin/,1,1
381,Assassin/Mage/,Assassin/Mage/,13,1
382,Fighter/Assassin/,Marksman/Assassin/,1,1
370,Marksman/Assassin/,Assassin/Fighter/,2,1
384,Tank/Mage/,Tank/,1,1
392,Mage/Support/,Marksman/,5,1
397,Tank/Fighter/,Marksman/Support/,1,1
385,Assassin/,Fighter/Assassin/,3,1
396,Fighter/Marksman/,Support/Tank/,1,1
395,Tank/Support/,Marksman/,1,1
393,Mage/Assassin/,Marksman/,2,1
394,Tank/Mage/,Fighter/Marksman/,3,1
391,Fighter/Marksman/,Tank/Mage/,4,1
390,Assassin/Mage/,Fighter/Tank/,2,1
389,Mage/,Tank/Mage/,1,1
388,Tank/Mage/,Mage/Assassin/,1,1
387,Marksman/Fighter/,Tank/Fighter/,2,1
386,Assassin/,Support/Mage/,1,1
453,Support/Tank/,Fighter/Tank/,3,0
461,Mage/Marksman/,Assassin/Mage/,2,0
454,Assassin/Mage/,Fighter/Marksman/,3,0
455,Assassin/,Mage/,1,0
456,Mage/Marksman/,Tank/Mage/,3,0
457,Fighter/Support/,Fighter/,2,0
458,Assassin/,Marksman/,1,0
459,Marksman/Mage/,Assassin/Fighter/,1,0
460,Mage/Tank/,Assassin/Mage/,1,0
467,Mage/Fighter/,Marksman/Support/,1,0
462,Marksman/Assassin/,Fighter/,1,0
463,Tank/Fighter/,Assassin/,1,0
464,Tank/,Support/,1,0
465,Marksman/Mage/,Fighter/Support/,1,0
466,Fighter/Mage/,Fighter/Support/,1,0
468,Mage/Support/,Support/Tank/,1,0
469,Marksman/Assassin/,Fighter/Support/,1,0
470,Mage/,Tank/Support/,1,0
451,Assassin/,Mage/Fighter/,1,0
452,Marksman/Assassin/,Mage/Fighter/,2,0
436,Marksman/Support/,Tank/Mage/,2,0
450,Fighter/Mage/,Assassin/,1,0
449,Fighter/Tank/,Assassin/,1,0
431,Mage/Support/,Mage/Assassin/,1,0
432,Mage/Support/,Fighter/Tank/,3,0
433,Mage/Support/,Mage/,1,0
434,Marksman/,Fighter/Support/,4,0
435,Support/Fighter/,Mage/,1,0
437,Mage/Fighter/,Marksman/Assassin/,1,0
438,Support/,Assassin/Fighter/,1,0
439,Support/,Fighter/Mage/,1,0
440,Mage/Fighter/,Fighter/Support/,4,0
441,Tank/Mage/,Mage/Marksman/,3,0
442,Tank/Fighter/,Fighter/Support/,1,0
443,Mage/Support/,Fighter/Mage/,2,0
444,Assassin/Mage/,Marksman/Assassin/,1,0
445,Assassin/,Fighter/Tank/,1,0
446,Assassin/Mage/,Tank/,1,0
447,Assassin/,Fighter/Mage/,1,0
448,Assassin/,Tank/Support/,1,0
471,Mage/Support/,Marksman/Support/,1,0
